ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,30,1422,1392
1,0,0,12,0,-12
2,0,0,58,0,-58
3,1,1,724,1326,602
4,0,0,12,0,-12
5,1,0,32,0,-32
6,0,0,122,0,-122
7,1,1,674,2665,1991
8,1,1,743,1416,673
9,0,0,23,0,-23
10,1,0,77,0,-77
11,1,1,468,1291,823
12,1,0,7,0,-7
13,0,0,5,0,-5
14,1,1,583,1316,733
15,0,0,69,0,-69
16,1,0,30,0,-30
17,1,0,74,0,-74
18,1,0,44,0,-44
19,1,1,181,1580,1399
20,0,0,63,0,-63
21,1,0,78,0,-78
22,0,0,92,0,-92
23,1,1,320,2621,2301
24,0,0,19,0,-19
25,1,0,2,0,-2
26,1,0,37,0,-37
27,1,0,23,0,-23
28,0,0,6,0,-6
29,1,1,1883,1344,-539
30,1,0,25,0,-25
31,1,1,367,1762,1395
32,1,1,1257,1466,209
33,1,0,54,0,-54
34,0,0,111,0,-111
35,1,1,185,1361,1176
36,1,1,132,1327,1195
37,0,0,7,0,-7
38,0,0,27,0,-27
39,1,0,44,0,-44
40,1,1,55,1350,1295
41,1,1,87,1602,1515
42,0,0,14,0,-14
43,1,0,89,0,-89
44,1,0,13,0,-13
45,1,0,57,0,-57
46,0,0,71,0,-71
47,1,0,31,0,-31
48,1,1,1154,1577,423
49,1,1,443,1233,790
50,1,0,21,0,-21
51,1,1,821,2713,1892
52,1,1,303,1809,1506
53,0,0,20,0,-20
54,1,0,46,0,-46
55,1,1,156,1319,1163
56,0,0,21,0,-21
57,0,0,118,0,-118
58,1,0,16,0,-16
59,1,0,180,0,-180
60,0,0,83,0,-83
61,0,0,48,0,-48
62,1,0,12,0,-12
63,1,0,130,0,-130
64,1,1,977,1324,347
65,0,0,20,0,-20
66,0,0,7,0,-7
67,1,0,89,0,-89
68,1,1,561,1454,893
69,1,0,33,0,-33
70,0,0,17,0,-17
71,0,0,12,0,-12
72,1,1,558,1588,1030
73,0,0,117,0,-117
74,0,0,32,0,-32
75,0,0,67,0,-67
76,0,0,187,0,-187
77,1,0,117,0,-117
78,0,0,21,0,-21
79,1,0,80,0,-80
80,1,0,148,0,-148
81,0,0,31,0,-31
82,1,0,12,0,-12
83,1,1,255,1591,1336
84,1,0,132,0,-132
85,1,1,82,1648,1566
86,0,0,46,0,-46
87,1,0,5,0,-5
88,1,1,67,2331,2264
89,1,0,17,0,-17
90,1,0,34,0,-34
91,1,0,27,0,-27
92,0,0,30,0,-30
93,0,0,116,0,-116
94,1,1,537,2552,2015
95,1,0,44,0,-44
96,1,1,1263,1467,204
97,0,0,113,0,-113
98,0,0,83,0,-83
99,1,0,7,0,-7
100,1,0,23,0,-23
101,1,0,39,0,-39
102,0,0,93,0,-93
103,1,1,1357,1412,55
104,1,0,19,0,-19
105,1,0,10,0,-10
106,1,1,236,1310,1074
107,0,0,78,0,-78
108,0,0,39,0,-39
109,1,0,22,0,-22
110,0,0,145,0,-145
111,1,1,561,2204,1643
112,0,0,43,0,-43
113,0,0,64,0,-64
114,0,0,4,0,-4
