ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,240,2052,1812
1,1,1,203,1247,1044
2,0,0,37,0,-37
3,1,0,39,0,-39
4,1,0,46,0,-46
5,0,0,83,0,-83
6,1,0,2,0,-2
7,1,1,166,1295,1129
8,1,1,558,1420,862
9,1,0,24,0,-24
10,0,0,6,0,-6
11,1,0,61,0,-61
12,0,0,1,0,-1
13,0,0,121,0,-121
14,0,0,121,0,-121
15,1,0,0,0,0
16,1,0,95,0,-95
17,1,1,357,1881,1524
18,1,0,43,0,-43
19,1,1,346,1338,992
20,1,1,279,1275,996
21,1,1,380,2634,2254
22,1,0,42,0,-42
23,1,1,417,1333,916
24,1,0,7,0,-7
25,1,0,45,0,-45
26,1,1,484,1600,1116
27,1,1,781,1810,1029
28,0,0,6,0,-6
29,1,1,989,1619,630
30,1,0,66,0,-66
31,1,0,55,0,-55
32,1,1,406,1975,1569
33,1,0,27,0,-27
34,1,0,29,0,-29
35,1,1,342,1510,1168
36,1,0,1,0,-1
37,1,0,23,0,-23
38,0,0,9,0,-9
39,0,0,96,0,-96
40,0,0,26,0,-26
41,1,1,305,1260,955
42,1,1,272,2664,2392
43,1,0,71,0,-71
44,0,0,8,0,-8
45,0,0,34,0,-34
46,1,1,363,1628,1265
47,1,0,20,0,-20
48,1,0,25,0,-25
49,0,0,11,0,-11
50,1,1,271,1389,1118
51,1,1,318,1584,1266
52,1,1,371,1308,937
53,1,0,56,0,-56
54,0,0,16,0,-16
55,0,0,56,0,-56
56,1,0,14,0,-14
57,1,1,1625,1798,173
58,1,1,453,2029,1576
59,1,1,548,2022,1474
60,1,0,9,0,-9
61,1,0,52,0,-52
62,0,0,52,0,-52
63,0,0,79,0,-79
64,1,0,111,0,-111
65,0,0,37,0,-37
66,1,1,52,1380,1328
67,0,0,0,0,0
68,1,1,86,2055,1969
69,1,1,1113,1253,140
70,1,0,1,0,-1
71,1,0,31,0,-31
72,0,0,22,0,-22
73,1,0,10,0,-10
74,1,0,0,0,0
75,1,0,30,0,-30
76,1,0,1,0,-1
77,1,1,507,1240,733
78,1,1,88,1433,1345
79,0,0,49,0,-49
80,1,0,27,0,-27
81,0,0,34,0,-34
82,0,0,22,0,-22
83,0,0,12,0,-12
84,1,0,30,0,-30
85,0,0,158,0,-158
86,1,0,35,0,-35
87,1,0,3,0,-3
88,1,0,38,0,-38
89,1,1,1082,1473,391
90,1,1,1260,1454,194
91,0,0,16,0,-16
92,1,1,135,1401,1266
93,1,0,18,0,-18
94,1,1,725,2111,1386
